City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,remire-montjoly,4.9167,-52.2667,299.17,89,0,0.0,GF,1709466947
1,adamstown,-25.066,-130.1015,297.68,77,99,7.49,PN,1709466947
2,salekhard,66.53,66.6019,264.41,94,95,3.99,RU,1709466948
3,bikenibeu village,1.3673,173.1241,300.13,89,40,5.14,KI,1709466949
4,blackmans bay,-43.0167,147.3167,282.22,67,61,1.34,AU,1709466949
5,miles city,46.4083,-105.8406,267.69,86,100,7.72,US,1709466950
6,belyy yar,53.6039,91.3903,262.09,79,79,0.0,RU,1709466950
7,troitsko-pechorsk,62.7084,56.1964,271.87,93,100,4.02,RU,1709466951
8,waitangi,-43.9535,-176.5597,286.94,92,64,1.34,NZ,1709466952
9,mumbwa,-14.9783,27.0619,302.43,38,84,1.74,ZM,1709466952
10,upington,-28.4478,21.2561,305.36,18,75,8.75,ZA,1709466953
11,nueva concepcion,14.2,-91.3,297.02,71,27,1.95,GT,1709466953
12,nar'yan-mar,67.6713,53.087,273.21,95,100,7.6,RU,1709466954
13,fort bragg,35.139,-79.006,285.83,96,100,0.0,US,1709466954
14,brookings,44.3114,-96.7984,279.4,88,0,7.2,US,1709466955
15,albany,42.6001,-73.9662,280.82,95,100,0.89,US,1709466714
16,pacific grove,36.6177,-121.9166,283.52,85,0,2.06,US,1709466956
17,grytviken,-54.2811,-36.5092,278.25,81,4,3.82,GS,1709466956
18,kusadasi,37.8556,27.2566,290.8,58,95,2.06,TR,1709466957
19,magadan,59.5667,150.8,261.56,89,100,3.78,RU,1709466957
20,carnarvon,-24.8667,113.6333,297.59,79,1,9.39,AU,1709466958
21,riosucio,5.4216,-75.7032,288.44,94,59,0.09,CO,1709466958
22,iqaluit,63.7506,-68.5145,244.09,75,100,0.0,CA,1709466959
23,qaqortoq,60.7167,-46.0333,261.2,86,72,4.03,GL,1709466960
24,bebeji,11.6673,8.2622,309.56,7,100,5.08,NG,1709466961
25,chunskiy,56.0815,99.6342,254.57,99,99,0.31,RU,1709466961
26,katsuura,35.1333,140.3,283.06,57,3,7.94,JP,1709466962
27,newman,37.3138,-121.0208,282.28,89,99,2.01,US,1709466962
28,port-aux-francais,-49.35,70.2167,281.97,89,100,18.83,TF,1709466963
29,new norfolk,-42.7826,147.0587,282.87,60,38,2.85,AU,1709466963
30,puerto natales,-51.7236,-72.4875,282.4,66,75,5.14,CL,1709466964
31,opuwo,-18.0607,13.84,307.16,24,61,1.4,NA,1709466964
32,izmail,45.3493,28.8408,283.31,42,100,0.5,UA,1709466965
33,egilsstadir,65.2653,-14.3948,270.1,93,100,2.06,IS,1709466966
34,kataba,13.9833,44.3833,296.61,37,100,3.97,YE,1709466966
35,edinburgh of the seven seas,-37.0676,-12.3116,290.95,76,100,13.23,SH,1709466967
36,dudinka,69.4058,86.1778,264.08,92,100,10.28,RU,1709466967
37,boa vista,2.8197,-60.6733,299.14,69,0,3.6,BR,1709466901
38,papatowai,-46.5619,169.4708,283.19,86,96,2.48,NZ,1709466968
39,cruzeiro do sul,-29.5128,-51.9853,297.29,92,100,0.96,BR,1709466969
40,divo,5.8397,-5.36,301.53,75,79,2.4,CI,1709466970
41,sao jose da coroa grande,-8.8978,-35.1478,302.98,68,45,3.37,BR,1709466970
42,drezdenko,52.8383,15.8308,290.01,56,60,5.03,PL,1709466971
43,kone,-21.0595,164.8658,299.07,88,98,0.87,NC,1709466972
44,bredasdorp,-34.5322,20.0403,294.08,82,100,9.37,ZA,1709466972
45,badger,64.8,-147.5333,248.1,67,0,3.6,US,1709466973
46,kovur,14.4833,79.9833,301.15,58,16,5.82,IN,1709466973
47,czarna bialostocka,53.3051,23.2815,282.3,57,2,5.23,PL,1709466974
48,la passe,45.5549,-0.8967,284.28,67,10,6.34,FR,1709466974
49,remchi,35.062,-1.4336,286.38,71,40,8.23,DZ,1709466975
50,iskateley,67.6803,53.1512,273.16,95,100,7.6,RU,1709466975
51,hawaiian paradise park,19.5933,-154.9731,293.17,94,100,3.09,US,1709466976
52,port elizabeth,-33.918,25.5701,295.55,87,100,6.17,ZA,1709466976
53,dunedin,-45.8742,170.5036,286.93,65,100,4.47,NZ,1709466793
54,agadez,19.75,10.25,302.19,4,3,1.3,NE,1709466977
55,ushuaia,-54.8,-68.3,278.96,75,40,10.8,AR,1709466895
56,longyearbyen,78.2186,15.6401,273.06,80,75,7.2,SJ,1709466979
57,colesberg,-30.72,25.0972,305.06,18,20,4.79,ZA,1709466979
58,bilibino,68.0546,166.4372,249.7,100,91,1.65,RU,1709466980
59,tsiombe,-25.3,45.4833,307.48,38,66,5.35,MG,1709466980
60,praya,14.9215,-23.5087,297.45,60,20,12.35,CV,1709466981
61,fale old settlement,-9.3852,-171.2468,302.48,76,68,6.86,TK,1709466981
62,san julian,21.0167,-102.1667,284.46,42,22,2.33,MX,1709466982
63,estes park,40.3772,-105.5217,272.17,61,94,8.94,US,1709466961
64,utrik,11.2278,169.8474,299.76,80,100,11.18,MH,1709466983
65,tazacorte,28.629,-17.9293,292.69,63,20,6.17,ES,1709466983
66,vorgashor,67.5833,63.95,256.3,95,49,3.07,RU,1709466984
67,happy valley-goose bay,53.3168,-60.3315,271.32,74,75,5.14,CA,1709466985
68,fisterra,42.9049,-9.2629,284.68,67,70,7.23,ES,1709466985
69,christchurch,-43.5333,172.6333,290.32,45,100,7.72,NZ,1709466713
70,hermanus,-34.4187,19.2345,296.37,78,100,9.2,ZA,1709466987
71,puerto ayora,-0.7393,-90.3518,295.68,90,12,0.89,EC,1709466987
72,santo antonio,-6.3106,-35.4789,302.65,65,90,1.99,BR,1709466988
73,punta arenas,-53.15,-70.9167,278.21,75,75,2.57,CL,1709466726
74,urengoy,65.9667,78.3667,269.42,97,100,3.55,RU,1709466989
75,cambria,35.5641,-121.0808,284.85,87,90,0.89,US,1709466989
76,bubaque,11.2833,-15.8333,299.44,50,14,4.47,GW,1709466990
77,talnakh,69.4865,88.3972,263.82,92,100,8.94,RU,1709466990
78,vadso,70.0744,29.7487,275.64,87,20,4.12,NO,1709466991
79,avarua,-21.2078,-159.775,299.18,94,7,2.57,CK,1709466991
80,limassol,34.675,33.0333,291.19,68,75,8.75,CY,1709466992
81,lebu,-37.6167,-73.65,285.72,65,0,9.19,CL,1709466993
82,stanley,54.868,-1.6985,279.66,87,20,2.06,GB,1709466993
83,cartagena del chaira,1.3349,-74.8429,295.84,95,85,0.65,CO,1709466994
84,manaure,11.7751,-72.4445,297.77,79,77,5.39,CO,1709466994
85,hasselt,50.9311,5.3378,288.68,65,96,1.34,BE,1709466995
86,usinsk,65.9939,57.5281,271.52,97,100,8.05,RU,1709466995
87,mount gambier,-37.8333,140.7667,283.61,79,10,3.11,AU,1709466996
88,anadyr,64.75,177.4833,262.43,79,100,7.0,RU,1709466996
89,port mathurin,-19.6833,63.4167,299.79,85,61,9.18,MU,1709466997
90,hamilton,39.1834,-84.5333,280.58,95,100,2.06,US,1709466862
91,baksan,43.6881,43.5369,277.02,83,100,1.57,RU,1709466998
92,nayagarh,20.1333,85.1,300.97,47,32,4.21,IN,1709466998
93,tazovsky,67.4667,78.7,259.71,94,100,5.62,RU,1709466999
94,wailua homesteads,22.0669,-159.378,293.59,74,40,7.72,US,1709466999
95,invercargill,-46.4,168.35,285.38,74,99,3.13,NZ,1709467000
96,muborak,39.2553,65.1528,277.23,58,97,4.08,UZ,1709467000
97,kapa'a,22.0752,-159.319,294.33,74,40,7.72,US,1709467001
98,trenggalek,-8.05,111.7167,299.22,94,100,0.51,ID,1709467001
99,la ronge,55.1001,-105.2842,255.29,78,100,6.69,CA,1709467002
100,georgetown,5.4112,100.3354,303.68,78,40,3.6,MY,1709466761
101,guajara mirim,-10.7828,-65.3394,297.17,94,100,1.28,BR,1709467003
102,puerto leguizamo,-0.1934,-74.7819,296.06,94,94,0.14,CO,1709467004
103,rosso,16.4986,-15.8153,304.17,9,0,7.87,SN,1709467004
104,kozakai-cho,34.8,137.3589,280.38,50,44,4.47,JP,1709467005
105,daru,-9.0763,143.2092,300.15,83,100,1.37,PG,1709467005
106,newborough,52.6389,-0.2233,281.17,90,100,0.51,GB,1709467006
107,kodiak,57.79,-152.4072,264.88,73,0,2.57,US,1709466761
108,vila velha,-20.3297,-40.2925,300.12,69,40,2.06,BR,1709467007
109,bethel,41.3712,-73.414,281.49,86,100,2.06,US,1709466824
110,antigo,45.1402,-89.1523,276.82,96,87,5.33,US,1709466920
111,yellowknife,62.456,-114.3525,239.98,79,0,0.0,CA,1709467008
112,urangan,-25.3,152.9,299.93,82,82,2.68,AU,1709467009
113,uray,60.1247,64.7758,272.52,97,100,5.36,RU,1709467009
114,prince rupert,54.3161,-130.3201,271.98,74,0,2.57,CA,1709466909
115,awjilah,29.1081,21.2869,296.52,19,38,1.14,LY,1709467010
116,dwarka,22.2394,68.9678,294.21,45,1,7.27,IN,1709467011
117,palmer,42.1584,-72.3287,280.38,83,100,6.17,US,1709466997
118,klyuchi,52.2667,79.1667,263.12,94,95,3.02,RU,1709467012
119,luanda,-8.8368,13.2343,304.15,74,75,4.63,AO,1709467012
120,aykhal,66.0,111.5,257.03,99,98,1.2,RU,1709467013
121,dapaong,10.8639,0.205,311.14,12,96,3.06,TG,1709467014
122,ust-nera,64.5667,143.2,248.0,99,60,2.04,RU,1709467014
123,cabo san lucas,22.8909,-109.9124,293.43,73,85,6.71,MX,1709466900
124,kristiansund,63.1115,7.732,282.51,57,0,3.09,NO,1709467015
125,yangambi,0.8102,24.4336,305.57,47,99,2.42,CD,1709467016
126,quepos,9.4236,-84.1652,297.6,59,20,1.66,CR,1709467016
127,aripuana,-9.1667,-60.6333,296.25,98,100,1.21,BR,1709467017
128,masuguru,-11.3667,38.4167,303.39,75,96,1.15,TZ,1709467017
129,afaahiti,-17.75,-149.2833,299.08,83,99,7.44,PF,1709467018
130,garoua boulai,5.8833,14.55,309.12,24,98,1.58,CM,1709467018
131,whitehorse,60.7161,-135.0538,246.58,69,0,3.09,CA,1709467019
132,qamdo,31.1667,97.2333,274.48,32,50,3.17,CN,1709467019
133,hadibu,12.65,54.0333,300.48,64,73,4.61,YE,1709467020
134,city of balikpapan,-1.242,116.8942,301.12,89,40,2.57,ID,1709467020
135,mineiros,-17.5694,-52.5511,299.34,64,47,1.06,BR,1709467021
136,margaret river,-33.95,115.0667,294.17,89,23,2.18,AU,1709466917
137,luderitz,-26.6481,15.1594,296.75,58,0,9.24,NA,1709467022
138,hotan,37.0997,79.9269,278.09,33,94,2.46,CN,1709467023
139,east ballina,-28.8667,153.5833,294.15,91,100,2.06,AU,1709467023
140,hithadhoo,-0.6,73.0833,301.94,68,95,2.17,MV,1709467024
141,ilulissat,69.2167,-51.1,259.4,56,36,6.45,GL,1709467024
142,labuan,5.2767,115.2417,300.35,83,20,3.6,MY,1709467025
143,upper grand lagoon,30.1633,-85.7408,289.27,94,0,2.06,US,1709467025
144,darovskoy,58.77,47.9564,273.32,85,100,3.58,RU,1709467026
145,vanimo,-2.6741,141.3028,299.3,90,98,1.94,PG,1709467026
146,pavlovka,52.6897,47.1405,271.35,86,7,2.06,RU,1709467027
147,santa ana,33.7456,-117.8678,285.29,93,100,2.06,US,1709466729
148,saipan,15.1355,145.701,299.54,83,40,2.57,MP,1709467028
149,lihue,21.9789,-159.3672,293.92,75,40,7.72,US,1709467028
150,santa luzia,-19.7697,-43.8514,298.58,82,40,4.63,BR,1709467029
151,dakhla,23.6848,-15.958,292.16,59,0,8.75,EH,1709467029
152,castillos,-34.1667,-53.8333,293.15,63,97,6.38,UY,1709467030
153,kassala,15.451,36.4,309.68,13,98,4.19,SD,1709467031
154,belle fourche,44.6714,-103.8522,280.0,52,100,8.94,US,1709467031
155,xam nua,20.4197,104.0439,294.62,42,33,1.49,LA,1709467032
156,quellon,-43.1167,-73.6167,283.16,80,24,2.5,CL,1709467033
157,pericos,25.05,-107.7,288.21,52,100,0.46,MX,1709467033
158,altus,34.6381,-99.334,283.88,84,0,4.12,US,1709467034
159,kingston,17.997,-76.7936,297.68,83,20,2.57,JM,1709467035
160,aasiaat,68.7098,-52.8699,260.86,61,15,10.16,GL,1709467035
161,chibougamau,49.9168,-74.3659,268.94,80,100,4.12,CA,1709467036
162,soe,-9.8607,124.284,293.96,95,100,1.02,ID,1709467036
163,trescore balneario,45.6965,9.8426,286.73,69,20,4.12,IT,1709467037
164,peruibe,-24.32,-46.9983,298.91,72,5,1.04,BR,1709467038
165,alingsas,57.9303,12.5335,281.24,85,100,3.49,SE,1709467038
166,rengasdengklok,-6.1592,107.2981,298.22,85,98,2.53,ID,1709467039
167,keflavik,64.0049,-22.5624,273.39,74,20,2.06,IS,1709467039
168,swakopmund,-22.6833,14.5333,296.62,79,40,4.47,NA,1709467040
169,rongelap,11.1635,166.8941,299.72,85,100,10.29,MH,1709467041
170,sabha,27.0377,14.4283,299.21,9,0,5.08,LY,1709467041
171,kidal,18.4411,1.4078,306.98,5,69,2.3,ML,1709467042
172,kingscliff,-28.2667,153.5667,298.56,94,100,0.0,AU,1709467042
173,east london,-33.0153,27.9116,298.67,73,40,5.66,ZA,1709467043
174,jiazi,22.8779,116.067,289.55,80,45,5.73,CN,1709467043
175,enewetak,11.3474,162.3373,299.68,84,100,9.73,MH,1709467044
176,isafjordur,66.0755,-23.124,267.17,53,0,0.0,IS,1709467045
177,linares,-35.85,-71.6,284.81,52,0,2.09,CL,1709467045
178,udachny,66.4167,112.4,261.18,84,98,1.64,RU,1709467046
179,ramos arizpe,25.55,-100.9667,291.46,26,100,1.81,MX,1709466907
180,palu,-0.8917,119.8707,298.79,96,100,0.75,ID,1709467047
181,tianpeng,30.9866,103.9393,282.41,75,100,1.06,CN,1709467048
182,port said,31.2565,32.2841,292.14,68,40,6.69,EG,1709467048
183,el granada,37.5027,-122.4694,283.06,85,20,3.09,US,1709466876
184,taoudenni,22.6783,-3.9836,302.86,7,0,0.65,ML,1709467049
185,madang,-5.2246,145.7966,299.53,88,89,0.29,PG,1709467050
186,saint-philippe,-21.3585,55.7679,303.92,92,96,6.52,RE,1709467051
187,constantia,44.1833,28.65,281.53,56,100,1.89,RO,1709467051
188,tondano,1.3038,124.9112,295.2,93,99,1.7,ID,1709467052
189,puerto armuelles,8.2833,-82.8667,295.14,82,59,1.79,PA,1709467052
190,filipstad,59.7124,14.1683,276.67,97,100,3.49,SE,1709467053
191,thompson,55.7435,-97.8558,247.24,76,40,4.12,CA,1709467054
